pop,demographic_hist,evergreen_rainforest,central_highlands,dry_deciduous_forest,arid_spiny_bush,humid_arid_both,GDM_1,GDM_2,GDM_3,GDM_4,single_multiple,elevation_range,elevation_class,alt_mean,alt_var,alt_stat_range,alt_index,genus_demog,species_demog,,
Compsophis_pop1,exp,yes,yes,no,no,humid,yes,yes,no,no,multiple,824-1648,high,1181,61635,824,52,unshared,unshared,,
Compsophis_pop2,exp,yes,yes,no,no,humid,yes,no,no,no,single,553-946,mid,710,24956,294,35,unshared,unshared,,
Compsophis_pop3,bott,yes,yes,no,no,humid,yes,yes,yes,no,multiple,74-1043,broad,579,99771,969,172,unshared,unshared,,
Compsophis_pop4,bott,yes,yes,no,no,humid,yes,yes,no,no,multiple,180-1173,broad,749,262281,993,350,unshared,NA,,
Dromicodryas_pop1,exp,yes,yes,yes,yes,both,yes,yes,no,yes,multiple,2-1266,broad,523,251517,1264,481,unshared,unshared,,
Dromicodryas_pop2,exp,yes,no,yes,no,both,yes,yes,yes,yes,multiple,6-631,low,82,15698,298,191,unshared,unshared,,
Dromicodryas_pop3,exp,no,yes,yes,no,both,no,no,yes,no,single,7-305,low,202,41761,625,206,unshared,NA,,
Langaha_pop1,exp,yes,yes,no,no,humid,yes,no,no,no,single,69-1275,broad,659,330962,1206,502,unshared,shared,,
Langaha_pop2,bott,yes,no,yes,yes,both,yes,no,yes,yes,multiple,2-204,low,87,7244,202,84,unshared,shared,,
Leioheterodon_pop1,bott,yes,yes,yes,yes,both,yes,no,yes,yes,multiple,6-1448,broad,212,140717,1442,665,unshared,NA,,
Leioheterodon_pop2,exp,yes,yes,yes,no,both,yes,no,yes,yes,multiple,30-782,low-mid,293,65217,752,223,unshared,unshared,,
Leioheterodon_pop3,exp,yes,no,yes,no,both,no,yes,yes,no,multiple,22-1190,broad,171,88750,1168,518,unshared,NA,,
Liophidium_pop1,bott,yes,yes,yes,no,both,yes,no,yes,no,multiple,23-975,broad,423,184619,952,437,unshared,unshared,,
Liophidium_pop2,exp,yes,no,yes,no,both,yes,yes,yes,no,multiple,81-1190,broad,317,150645,1109,476,unshared,unshared,,
Liophidium_pop3,bott,no,yes,no,no,humid,yes,no,no,no,single,627-1615,mid-high,1062,254361,988,239,shared,shared,,
Liopholidophis_pop1,bott,no,yes,no,no,humid,yes,no,no,no,single,1448-1807,high,1538,32220,359,21,shared,NA,,
Liopholidophis_pop2,exp,no,yes,no,no,humid,yes,yes,no,no,multiple,1002-1795,high,1315,65882,793,50,shared,shared,,
Lycodryas_pop1,exp,yes,yes,yes,no,both,no,no,yes,no,single,30-546,low,130,29718,516,228,unshared,unshared,,
Lycodryas_pop2,exp,yes,no,yes,no,both,yes,no,no,yes,multiple,27-227,low,177,10000,200,56,unshared,shared,,
Madagascarophis_pop1,bott,yes,yes,yes,no,both,yes,yes,yes,no,multiple,6-800,low-mid,445,98237,794,221,unshared,shared,,
Madagascarophis_pop2,bott,yes,yes,yes,no,both,no,no,yes,no,single,13-1019,broad,159,44467,1006,279,unshared,unshared,,
Madagascarophis_pop3,exp,yes,yes,yes,yes,both,yes,yes,no,yes,multiple,7-1615,broad,440,319014,1608,725,unshared,NA,,
Mimophis_pop1,exp,yes,yes,yes,yes,both,yes,no,no,yes,multiple,2-1615,broad,393,303156,1613,770,shared,NA,,
Mimophis_pop2,exp,yes,yes,yes,no,both,no,no,yes,no,single,3-966,broad,165,70938,963,430,shared,NA,,
Pseudoxyrhopus_pop1,exp,yes,yes,no,no,humid,yes,no,no,no,single,69-1163,broad,632,232747,1094,369,unshared,NA,,
Pseudoxyrhopus_pop2,bott,yes,yes,no,no,humid,yes,no,no,no,single,59-493,low,218,30535,434,140,shared,NA,,
Pseudoxyrhopus_pop3,exp,yes,yes,no,no,humid,yes,yes,no,no,multiple,180-966,broad,737,103811,786,141,shared,NA,,
Pseudoxyrhopus_pop4,bott,yes,no,no,no,humid,yes,no,no,no,single,73-282,low,161,8449,209,52,unshared,NA,,
Thamnosophis_pop1,exp,yes,yes,no,no,humid,yes,yes,yes,no,multiple,81-1040,broad,629,121708,959,193,unshared,unshared,,
Thamnosophis_pop2,exp,yes,yes,yes,no,both,yes,yes,no,no,multiple,106-1173,broad,634,192810,1067,304,unshared,NA,,
Thamnosophis_pop3,bott,yes,yes,no,no,humid,yes,no,no,no,single,73-1288,broad,796,209254,1215,263,unshared,shared,,
Thamnosophis_pop4,exp,yes,yes,no,no,humid,yes,yes,no,yes,multiple,109-1615,broad,865,150626,1506,174,unshared,NA,,
Thamnosophis_pop5,exp,yes,yes,no,no,humid,yes,no,no,no,single,73-1153,broad,874,88530,1080,101,unshared,shared,,
